match_id,datetime,split
10065881,2023-01-10 09:30:00,train
10064132,2023-10-05 20:00:00,train
10064133,2023-10-05 20:00:00,train
10064134,2023-10-05 20:00:00,train
10064135,2023-10-05 20:00:00,train
10064136,2023-10-05 20:00:00,train
10064137,2023-10-06 20:00:00,train
10064138,2023-10-06 20:00:00,train
10064139,2023-10-06 20:00:00,train
10064140,2023-10-06 20:00:00,train
10064141,2023-10-06 20:00:00,train
10064142,2023-10-06 20:00:00,train
10064143,2023-10-06 20:00:00,train
10064144,2023-10-09 16:30:00,train
10064145,2023-10-09 16:30:00,train
10064146,2023-10-09 16:30:00,train
10064147,2023-10-09 16:30:00,train
10064148,2023-10-09 21:00:00,train
10064149,2023-10-09 21:00:00,train
10064150,2023-10-09 21:00:00,train
10064151,2023-10-09 21:00:00,train
10064152,2023-10-10 16:30:00,train
10064153,2023-10-10 16:30:00,train
10064154,2023-10-10 21:00:00,train
10064155,2023-10-10 21:00:00,train
10064190,2023-10-10 22:30:00,train
10064191,2023-10-10 22:30:00,train
10064192,2023-10-11 03:00:00,train
10064193,2023-10-11 03:00:00,train
10064198,2023-10-11 16:00:00,train
10064201,2023-10-11 16:00:00,train
10064156,2023-10-11 16:30:00,train
10064199,2023-10-11 20:00:00,train
10064200,2023-10-11 20:00:00,train
10064157,2023-10-11 21:00:00,train
10064194,2023-10-11 22:30:00,train
10064195,2023-10-12 03:00:00,train
10064202,2023-10-12 16:00:00,train
10064206,2023-10-12 16:00:00,train
10064203,2023-10-12 19:00:00,train
10064205,2023-10-12 19:00:00,train
10064159,2023-10-12 20:00:00,train
10064160,2023-10-12 20:00:00,train
10064166,2023-10-12 20:00:00,train
10064204,2023-10-13 16:00:00,train
10064207,2023-10-13 19:00:00,train
10064171,2023-10-13 20:00:00,train
10064172,2023-10-13 20:00:00,train
10064177,2023-10-13 20:00:00,train
10064179,2023-10-13 20:00:00,train
10064262,2023-10-14 17:00:00,train
10064261,2023-10-14 21:00:00,train
10064066,2023-10-16 04:30:00,train
10064067,2023-10-16 04:30:00,train
10064064,2023-10-16 05:30:00,train
10064065,2023-10-16 05:40:00,train
10064068,2023-10-16 06:45:00,train
10064069,2023-10-16 07:15:00,train
10064071,2023-10-16 08:00:00,train
10064070,2023-10-16 08:30:00,train
10064282,2023-10-16 09:30:00,train
10064281,2023-10-16 10:15:00,train
10064283,2023-10-16 11:30:00,train
10064284,2023-10-16 13:30:00,train
10064290,2023-10-17 05:30:00,train
10064293,2023-10-17 05:30:00,train
10064289,2023-10-17 08:30:00,train
10064292,2023-10-17 08:30:00,train
10064287,2023-10-17 11:30:00,train
10064286,2023-10-17 12:05:00,train
10064162,2023-10-17 20:00:00,train
10064163,2023-10-17 20:00:00,train
