match_id,game_id,datetime,fold,role
580027,128049,2023-10-25 18:00:00,1,train
557633,115876,2023-10-25 20:00:00,1,train
557626,115874,2023-10-25 20:30:00,1,train
557626,115877,2023-10-25 20:30:00,1,train
557626,115878,2023-10-25 20:30:00,1,train
487656,115881,2023-10-26 12:00:00,1,train
487656,115882,2023-10-26 12:00:00,1,train
487656,115883,2023-10-26 12:00:00,1,train
588338,115879,2023-10-26 12:00:00,1,train
588338,115880,2023-10-26 12:00:00,1,train
589226,115884,2023-10-26 15:00:00,1,train
589226,115887,2023-10-26 15:00:00,1,train
566813,115886,2023-10-26 16:00:00,1,train
566813,115888,2023-10-26 16:00:00,1,train
566815,115885,2023-10-26 16:00:00,1,train
566815,115889,2023-10-26 16:00:00,1,train
589725,115892,2023-10-26 18:00:00,1,train
566812,115893,2023-10-26 19:00:00,1,train
566812,115895,2023-10-26 19:00:00,1,train
566812,115897,2023-10-26 19:00:00,1,train
566814,115894,2023-10-26 19:00:00,1,train
566814,115896,2023-10-26 19:00:00,1,train
585168,115898,2023-10-26 21:00:00,1,train
585168,115899,2023-10-26 21:00:00,1,train
585168,115900,2023-10-26 21:00:00,1,train
589049,115901,2023-10-27 11:00:00,1,train
589049,115902,2023-10-27 11:00:00,1,train
589049,115903,2023-10-27 11:00:00,1,train
593763,115905,2023-10-27 13:30:00,1,train
593763,115907,2023-10-27 13:30:00,1,train
589047,115904,2023-10-27 14:15:00,1,train
589047,115906,2023-10-27 14:15:00,1,train
589732,115908,2023-10-27 15:00:00,1,train
589732,115909,2023-10-27 15:00:00,1,train
589734,115910,2023-10-27 16:00:00,1,train
589734,115911,2023-10-27 16:00:00,1,train
589734,115914,2023-10-27 16:00:00,1,train
592593,115913,2023-10-27 16:30:00,1,train
592593,115916,2023-10-27 16:30:00,1,train
592593,115918,2023-10-27 16:30:00,1,train
589048,115912,2023-10-27 17:30:00,1,train
589048,115915,2023-10-27 17:30:00,1,train
589048,115921,2023-10-27 17:30:00,1,train
589731,115917,2023-10-27 19:00:00,1,train
589731,115920,2023-10-27 19:00:00,1,train
589731,115922,2023-10-27 19:00:00,1,train
589733,115919,2023-10-27 19:00:00,1,train
589733,115923,2023-10-27 19:00:00,1,train
589733,115927,2023-10-27 19:00:00,1,train
487653,115925,2023-10-27 20:00:00,1,train
589046,115924,2023-10-27 21:00:00,1,train
589046,115926,2023-10-27 21:00:00,1,train
557551,115928,2023-10-28 10:30:00,1,train
597061,115929,2023-10-28 11:00:00,1,train
597061,115931,2023-10-28 11:00:00,1,train
597060,115932,2023-10-28 14:00:00,1,train
597060,115933,2023-10-28 14:00:00,1,train
597060,115934,2023-10-28 14:00:00,1,train
593237,115937,2023-10-28 16:00:00,1,train
593237,115939,2023-10-28 16:00:00,1,train
593237,115941,2023-10-28 16:00:00,1,train
593332,115935,2023-10-28 16:00:00,1,train
593332,115936,2023-10-28 16:00:00,1,train
597458,115938,2023-10-28 17:00:00,1,train
597458,115940,2023-10-28 17:00:00,1,train
597458,115942,2023-10-28 17:00:00,1,train
593331,115943,2023-10-28 19:00:00,1,train
593331,115944,2023-10-28 19:00:00,1,train
593331,115948,2023-10-28 19:00:00,1,train
593236,115946,2023-10-28 19:30:00,1,train
593236,115950,2023-10-28 19:30:00,1,train
593236,115952,2023-10-28 19:30:00,1,train
597457,115945,2023-10-28 20:00:00,1,train
597457,115947,2023-10-28 20:00:00,1,train
601536,115953,2023-10-29 10:30:00,1,train
601536,115954,2023-10-29 10:30:00,1,train
